ymd,Í∞ïÎÇ®Íµ?Í∞ïÎèôÍµ?Í∞ïÎ∂ÅÍµ?Í∞ïÏÑúÍµ?Í¥Ä?ÖÍµ¨,Í¥ëÏßÑÍµ?Íµ¨Î°úÍµ?Í∏àÏ≤úÍµ??∏ÏõêÍµ??ÑÎ¥âÍµ??ôÎ?Î¨∏Íµ¨,?ôÏûëÍµ?ÎßàÌè¨Íµ??úÎ?Î¨∏Íµ¨,?úÏ¥àÍµ??±ÎèôÍµ??±Î∂ÅÍµ??°ÌååÍµ??ëÏ≤úÍµ??ÅÎì±?¨Íµ¨,?©ÏÇ∞Íµ??Ä?âÍµ¨,Ï¢ÖÎ°úÍµ?Ï§ëÍµ¨,Ï§ëÎûëÍµ?,,,,,,,,,,,,,,,,,,
201101,3551.736735,2069.52016,1379.239595,1688.389663,1664.041084,2196.329231,1559.052621,1218.227232,1484.612221,1296.435343,1536.085424,1948.829867,2050.760999,1561.771153,2993.307195,1950.074854,1511.668069,2894.064452,2185.06773,1870.359117,2644.921557,1360.094509,1878.779446,1971.507794,1390.479209
201102,3413.439579,1957.549269,1408.91243,1611.819815,1623.328328,2125.979395,1476.51152,1215.435533,1483.300551,1298.868793,1524.439442,1879.973817,1997.391438,1519.411409,2978.154305,2011.279428,1523.120622,2788.389377,1972.300862,1882.645826,2802.399192,1363.191495,1909.280698,1938.534659,1409.545042
201103,3530.503832,1881.509349,1395.189531,1587.207279,1607.524662,2137.870837,1480.35233,1246.34607,1460.399886,1307.954556,1530.177818,1888.907563,2034.824898,1522.677133,2852.895702,1938.281466,1615.391285,2663.669947,1861.208968,1859.551458,2861.972921,1297.099327,1786.38256,1888.60901,1405.066423
201104,3503.299194,1941.465768,1376.087414,1547.295399,1601.947576,2237.558802,1500.608915,1239.055703,1458.102483,1275.262834,1548.707401,1883.004304,2038.525987,1483.881039,3034.628137,1922.01503,1529.122161,2749.062079,2024.671075,1776.920204,2570.879657,1309.902568,1897.263244,1944.212664,1396.03464
201105,3421.220459,2003.410547,1294.552965,1587.808348,1572.005033,2098.287951,1497.166306,1219.244027,1440.650549,1291.523139,1579.724715,1876.980236,2086.193602,1515.813243,2931.34573,1932.531927,1518.984584,2759.422448,1924.52034,1842.416829,2486.839158,1297.68521,1852.776326,1932.863057,1363.797028
201106,3433.382036,1994.344266,1345.313566,1580.110383,1602.196197,2133.788456,1439.923889,1193.112817,1426.520522,1280.731165,1501.645993,1864.84439,1991.099615,1416.067225,3008.833984,1900.764775,1456.297912,2706.268783,1983.369305,1791.669328,2698.110193,1211.491501,1657.817853,1900.515306,1397.009191
201107,3800.187799,2143.586484,1339.749373,1615.371815,1654.697212,2164.675054,1429.593915,1226.907473,1431.750038,1257.262292,1518.449865,1832.099662,2152.932766,1512.195767,3185.502387,1955.29541,1463.410621,2842.461041,2140.788859,1838.940875,2390.201088,1355.303652,1965.04888,2086.321739,1368.084177
201108,3391.608038,1953.703051,1354.044509,1581.703166,1544.483092,2073.964366,1398.434497,1229.667713,1431.770999,1276.805608,1505.086932,1846.781558,2072.015621,1594.157061,3024.007036,1992.858879,1492.726668,2838.114993,1856.423249,1830.953047,2437.21183,1342.362523,2022.320024,1972.147107,1371.412524
201109,3627.26648,2017.128601,1336.456187,1563.362027,1511.400641,2136.85903,1384.445827,1232.859315,1423.806887,1272.583723,1580.262449,1848.098618,2019.592108,1552.08337,3074.24219,1877.240762,1526.120065,2719.24751,1790.59981,1799.187103,2620.343285,1406.975356,2073.460656,1902.495275,1373.139473
201110,3657.043715,2093.278257,1368.051281,1591.794484,1570.326009,2059.733173,1476.637403,1190.535145,1458.610678,1283.865739,1556.127662,1882.990904,2070.955772,1553.305595,2960.855706,1940.892101,1475.212987,2902.360694,1925.379296,1732.694399,2239.094008,1310.981192,1931.5757,1986.467374,1408.514387
201111,3581.819216,2027.182798,1332.361092,1586.674582,1579.173455,2135.024239,1467.562184,1204.643417,1418.17893,1256.525229,1573.089749,2030.11562,2054.526084,1435.353773,2814.560442,1893.444369,1481.069384,2887.975928,1953.418153,1810.791959,2590.674198,1331.716933,2102.875433,1908.731057,1371.965968
201112,3618.52386,2158.275892,1347.406518,1569.831832,1543.413267,2037.457596,1385.54754,1232.033404,1433.584424,1227.026035,1566.83071,2019.098377,2083.934376,1463.67422,2921.808378,1906.300381,1499.827498,2947.302388,1980.384415,1816.414564,2618.01768,1381.84731,1832.622048,1844.796608,1346.749652
201201,3414.673733,2159.864688,1372.035002,1564.045154,1557.93423,2084.811951,1456.398739,1262.09744,1402.02561,1267.425573,1497.295281,1883.454398,1978.908665,1487.19046,2963.72302,1994.707674,1490.317791,2920.207937,1921.75288,1739.01573,2522.747577,1404.083221,1732.651574,1973.810568,1337.366121
201202,3614.701086,2184.657647,1329.185174,1575.624746,1602.333614,2061.924386,1447.241438,1193.053265,1380.773316,1222.723384,1530.655419,1869.735146,1943.292577,1557.699583,2812.007212,1952.450435,1486.145908,2898.15192,1876.242068,1830.025967,2614.118074,1351.667966,1976.373993,1948.846699,1353.443314
201203,3555.378986,2082.453237,1297.668865,1498.766217,1539.112136,2137.880785,1393.326177,1225.077798,1374.878397,1243.93824,1487.507741,1976.345931,1979.755424,1456.725034,2924.659577,2020.864638,1475.124005,2789.968134,1797.684405,2025.053554,2574.1117,1271.148027,1900.66724,1955.345407,1362.042663
201204,3601.408218,2107.818807,1290.757302,1504.249006,1463.412968,2063.565544,1461.129246,1194.001872,1361.275707,1188.713401,1569.618163,1838.949681,2109.292611,1539.998559,2839.723877,1916.917848,1469.542625,2927.344747,1788.80234,1823.055329,2557.978412,1338.832236,1740.857151,1907.799166,1322.427636
201205,3561.582015,2093.857151,1282.878712,1526.381511,1672.034208,2074.800241,1412.123595,1222.871364,1340.569191,1220.880232,1521.575406,1798.639246,1972.028968,1518.540362,2895.791263,2009.899239,1415.341149,2756.79646,2086.276413,1767.656404,2557.971155,1384.947423,2029.967812,1912.873422,1313.302148
201206,3250.287217,2095.618293,1320.519175,1473.531204,1591.305678,2062.642005,1412.493327,1113.86503,1335.992094,1172.089272,1416.681035,1806.034832,1956.814054,1470.734325,2786.058284,1818.854345,1378.708085,2851.422146,1830.681907,1739.576337,2440.174973,1327.903047,2035.024059,2015.959005,1281.617349
201207,3342.935927,2027.890654,1374.638436,1456.87695,2117.060795,1878.781653,1475.057539,1154.948349,1329.119081,1161.237772,1424.091002,1805.014303,2148.887748,1452.861824,2957.338441,1806.687633,1428.131492,2875.732169,1846.720926,1684.742991,2363.769814,1334.793991,2011.406029,2139.814856,1277.417796
201208,3135.731973,1864.635397,1307.589936,1419.920374,2037.753554,1997.562177,1540.500992,1178.899541,1344.258498,1150.574443,1406.47644,1886.202766,1978.955603,1424.77589,2884.141436,1818.956588,1334.562384,2728.207194,1852.536196,1729.235682,2283.620988,1338.765936,1904.35507,1926.460503,1320.971614
201209,3397.625669,2060.228476,1278.908524,1451.131325,1827.093717,1933.291911,1392.007459,1138.312034,1313.282678,1168.715948,1488.918203,1818.410116,2140.223518,1420.941717,2823.168595,1808.85724,1404.376167,2892.565155,1854.486963,1711.799067,2258.638204,1407.515612,1900.169867,1821.832403,1275.076621
201210,3320.657704,1962.472039,1299.251658,1482.157544,1491.453207,2040.189006,1386.366248,1146.631207,1328.56116,1143.928542,1491.183956,1929.038839,1948.281926,1483.738397,2899.882035,1818.082752,1402.767123,2849.134915,2017.013314,1740.720186,2601.482931,1438.546655,1886.502955,1947.211147,1321.785733
201211,3329.498764,1933.932188,1361.641523,1505.440135,1431.898281,2043.987471,1444.864897,1121.464875,1320.573521,1175.207488,1428.833995,1904.204632,2302.826446,1447.070416,2881.86162,1846.71376,1394.139366,2857.244913,1814.397644,1730.417349,2560.274869,1430.72307,1926.549874,1861.017885,1290.340605
201212,3312.723727,1917.350273,1323.804415,1500.54672,1908.678495,2124.526246,1425.705722,1143.222006,1313.350508,1157.368332,1480.724947,2236.924374,2329.213236,1473.337974,2887.837841,1823.222031,1419.23739,2814.565558,1809.893119,1733.297883,2497.74474,1543.82641,1883.892849,1780.561035,1277.852846
201301,3442.759955,1904.798981,1300.087978,1475.214951,1901.096029,2008.588198,1448.182632,1111.656867,1307.412657,1166.398942,1351.55114,1894.340336,2623.301861,1463.721749,3004.037129,1817.656639,1407.682913,2717.864328,1853.324923,1878.911899,2224.801125,1449.560169,1930.881137,1838.552015,1301.858754
201302,3299.40393,1992.335866,1299.307441,1485.966373,1659.555988,2054.420025,1403.92113,1144.459583,1324.56457,1198.365237,1400.083841,1924.71709,2331.228432,1552.629529,2720.503419,1824.415368,1463.336127,2873.506414,1814.555441,1757.819148,2310.448369,1497.820677,1883.329931,1892.542009,1343.621919
201303,3277.982686,1947.621398,1341.861156,1509.269269,1614.554182,2040.017673,1443.274373,1145.779757,1322.169597,1165.264295,1464.636208,1910.314786,2318.614634,1488.021544,2925.689592,1873.561273,1414.230484,2742.51442,1870.496282,1853.252013,2263.546503,1409.518379,1849.87865,1892.972497,1311.810324
201304,3323.818209,1933.499192,1372.149072,1479.40818,1586.232936,2083.73533,1432.583475,1188.248331,1318.895233,1168.116628,1485.106471,1977.069271,2151.893246,1410.637907,2920.068881,1904.133145,1432.899203,2940.241935,1925.881935,1732.38013,2158.316162,1450.269323,1745.302191,1780.732186,1301.197334
