ymd,면적가격,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
201101,2188.449848024316,3551.7367352310735,2069.5201597342334,1379.2395954726921,1688.3896631848716,1664.041084439766,2196.3292309029894,1559.052621148871,1218.227231570312,1484.6122208247177,1296.4353427860956,1536.0854241382856,1948.8298673448412,2050.7609989379584,1561.7711534539128,2993.307194852358,1950.074854378393,1511.6680690178018,2894.064451505335,2185.067730367617,1870.3591173623358,2644.9215574870777,1360.094508949872,1878.779446318113,1971.5077941429547,1390.479208766641
201102,1827.0093135563986,3413.439579129381,1957.5492685601012,1408.9124297947965,1611.8198149655711,1623.3283279674813,2125.979395103061,1476.5115198748822,1215.4355334407435,1483.3005514832876,1298.8687931710185,1524.439442387879,1879.9738174451297,1997.3914382024209,1519.4114088814833,2978.1543054080485,2011.279427967324,1523.1206224845112,2788.38937703575,1972.3008615371853,1882.6458260731085,2802.399192254109,1363.1914948453111,1909.280698378539,1938.534659280027,1409.5450419102751
201103,2913.478516774573,3530.503832424316,1881.5093488484542,1395.189531364736,1587.2072786377873,1607.5246621453036,2137.8708374668004,1480.352330146189,1246.346069875498,1460.3998856067478,1307.954555942425,1530.177818192561,1888.907563428383,2034.8248975864565,1522.6771329746448,2852.8957019070217,1938.2814659377107,1615.3912848455943,2663.6699466480004,1861.2089675018115,1859.5514580763065,2861.9729213040423,1297.0993274394914,1786.3825596438915,1888.6090102370545,1405.0664232761437
201104,1767.8571428571427,3503.2991937349993,1941.4657683387559,1376.0874137207825,1547.2953993063832,1601.9475757156758,2237.558802105473,1500.608914606667,1239.0557034131589,1458.1024834654584,1275.2628340834465,1548.7074011295401,1883.0043044191934,2038.5259872923625,1483.8810387835374,3034.6281371365294,1922.0150295119972,1529.122161298419,2749.0620794306033,2024.6710747262846,1776.9202041973476,2570.879656832965,1309.9025677137624,1897.2632443115556,1944.2126637249553,1396.0346403078843
201105,4011.702468739981,3421.22045862939,2003.4105468366151,1294.5529651192974,1587.8083479821728,1572.0050325892055,2098.287951182045,1497.1663057262044,1219.2440272483134,1440.6505492061776,1291.5231386306164,1579.7247153064516,1876.9802361292896,2086.193602128157,1515.8132425920319,2931.34572982315,1932.531927255648,1518.9845835387373,2759.4224483608214,1924.5203404715116,1842.4168293830055,2486.839158041989,1297.6852102817666,1852.7763256811588,1932.863057116033,1363.7970278441887
201106,2758.132956152758,3433.3820359904084,1994.34426581351,1345.313565853534,1580.1103833703385,1602.1961972387398,2133.7884556974777,1439.9238887369288,1193.1128172447532,1426.5205218834092,1280.7311645743243,1501.645993354208,1864.8443895659364,1991.099614781558,1416.0672252670545,3008.8339835885663,1900.7647752367366,1456.2979123091498,2706.268782678964,1983.3693050679803,1791.669328019813,2698.110192621329,1211.4915008885123,1657.8178534750282,1900.515305546236,1397.0091909145742
201107,3692.498136782039,3800.187798742484,2143.5864840078343,1339.7493725920124,1615.3718153601963,1654.6972124784777,2164.675053738649,1429.5939147046704,1226.9074731780825,1431.750038339591,1257.2622917515077,1518.4498650747726,1832.0996623169713,2152.9327657846543,1512.1957667107426,3185.5023873869673,1955.295409790211,1463.41062112975,2842.46104071638,2140.7888592692216,1838.9408746363904,2390.2010875527512,1355.3036521233419,1965.048879777962,2086.3217385428807,1368.0841772313086
201108,2478.0422393563526,3391.608038024698,1953.703051463945,1354.0445090453977,1581.7031657197283,1544.4830923831214,2073.9643663621127,1398.4344972106162,1229.6677127064036,1431.7709991120432,1276.8056077285448,1505.0869318612577,1846.7815576329838,2072.0156212777106,1594.157060744746,3024.007035544168,1992.8588787826175,1492.726668069738,2838.114993403426,1856.4232494401608,1830.9530473883735,2437.211829530114,1342.362523279412,2022.32002386181,1972.1471068704197,1371.4125242717228
201109,2150.523894709941,3627.26647952496,2017.1286007407,1336.456186519222,1563.3620265631464,1511.4006406713304,2136.8590302415796,1384.4458274648873,1232.8593151821115,1423.8068868474402,1272.583723219845,1580.2624486075201,1848.098617778075,2019.5921081762408,1552.083369661292,3074.2421900501745,1877.2407620972226,1526.12006492338,2719.247509872155,1790.5998100982206,1799.187103108192,2620.3432845753255,1406.975356168815,2073.4606562116296,1902.4952746930314,1373.139473290834
201110,2456.9181863811277,3657.0437145253095,2093.2782572702645,1368.0512812299544,1591.7944843848268,1570.3260093536178,2059.7331733411193,1476.6374032464487,1190.5351450444145,1458.6106784320552,1283.8657389499774,1556.1276624555662,1882.9909042306615,2070.9557724174183,1553.3055950054961,2960.855705687648,1940.8921013659913,1475.2129873522988,2902.3606944537937,1925.3792962365026,1732.6943989599026,2239.0940077039954,1310.981191796492,1931.5756999819605,1986.4673737976132,1408.514386754275
