구분,서울특별시,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
Jan-11,7179,551,463,126,408,246,156,361,98,674,336,228,256,270,170,427,283,432,472,321,298,90,221,51,59,182
Feb-11,6026,406,363,117,279,247,119,343,103,578,273,206,217,199,183,310,178,371,349,261,258,103,244,48,56,215
Mar-11,5419,315,311,113,317,203,111,300,115,443,280,205,189,185,135,266,172,359,265,259,245,86,214,68,58,205
Apr-11,4028,252,211,76,224,124,90,212,60,404,227,157,181,121,125,226,126,215,235,195,156,57,161,30,35,128
May-11,3836,270,269,67,204,137,65,199,53,377,194,119,131,112,128,223,116,208,211,193,162,50,146,31,36,135
Jun-11,3687,281,206,79,200,113,78,178,61,389,188,115,110,102,103,219,103,213,229,166,167,52,130,30,35,140
Jul-11,4319,362,290,79,188,135,70,235,59,426,210,142,142,184,103,190,173,182,385,182,166,47,126,42,51,150
Aug-11,4711,322,293,91,291,157,86,250,87,490,279,149,174,127,112,193,115,277,297,205,207,50,200,35,44,180
Sep-11,4178,269,223,105,247,154,86,222,60,462,211,150,113,127,95,199,138,236,281,241,174,62,123,32,32,136
Oct-11,4027,294,241,79,225,136,80,231,66,424,173,145,137,128,97,157,129,201,328,219,161,69,107,37,32,131
Nov-11,3519,240,198,73,192,93,75,225,63,372,142,108,137,123,78,172,89,156,286,162,151,65,128,40,38,113
Dec-11,3712,317,245,69,217,102,65,214,60,324,152,97,146,132,97,215,83,166,327,176,140,68,112,30,34,124
Jan-12,2786,170,231,57,153,91,63,129,42,280,157,95,77,103,60,105,76,149,185,132,115,40,108,22,25,121
Feb-12,3948,213,306,83,223,115,96,218,69,404,201,137,122,115,92,161,114,198,251,230,200,58,121,48,49,124
Mar-12,4077,245,244,76,204,138,55,210,87,375,205,144,149,138,103,168,117,224,247,220,267,62,148,31,45,175
Apr-12,3415,261,189,77,175,102,65,153,65,299,158,183,116,124,89,145,110,171,278,176,154,54,89,38,39,105
May-12,3489,261,243,62,178,106,52,134,56,312,169,150,102,159,81,192,78,178,295,203,142,63,91,39,42,101
Jun-12,2577,162,131,58,124,84,57,118,42,290,119,113,81,85,60,120,62,152,231,111,94,41,86,29,27,100
Jul-12,2149,129,116,57,92,99,40,78,35,239,130,62,76,84,56,82,49,108,167,97,75,39,77,47,49,66
Aug-12,2223,131,133,51,116,91,44,102,44,238,121,76,81,72,54,76,67,131,197,101,81,31,72,18,34,61
Sep-12,3388,207,216,64,163,116,68,138,58,375,163,123,110,144,71,130,85,173,363,182,132,40,111,22,27,107
Oct-12,4918,308,266,85,246,157,112,219,69,611,247,158,184,126,140,249,124,246,534,243,152,59,163,36,60,124
Nov-12,4349,318,240,83,210,127,78,191,66,486,169,120,152,176,98,260,127,213,421,221,153,58,161,44,46,131
Dec-12,3760,285,202,52,200,137,67,139,63,388,164,92,194,154,99,195,105,169,342,177,138,69,163,37,31,98
Jan-13,3438,311,259,38,169,86,64,111,58,355,181,130,125,135,67,176,97,189,266,161,125,46,134,24,39,92
Feb-13,4491,388,322,86,214,130,79,196,75,430,229,138,158,168,92,312,154,221,399,173,141,55,135,33,34,129
Mar-13,6566,429,381,123,397,197,121,305,111,683,324,170,255,249,134,349,230,325,583,319,281,66,244,44,70,176
Apr-13,6718,471,292,140,354,190,112,336,105,687,326,216,267,252,154,407,213,374,552,328,274,82,252,46,77,211
