날짜,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구,구 합계
201101,82,81,135,185,227,202,227,246,174,175,299,218,175,225,227,344,246,112,252,220,323,243,259,392,246,5515
201102,93,69,125,185,183,165,191,251,165,149,253,233,123,184,163,334,249,103,229,224,312,230,261,335,241,5050
201103,88,59,155,174,223,188,246,263,174,159,283,272,173,247,241,338,277,145,288,274,375,245,319,372,294,5872
201104,75,61,119,188,191,163,226,220,178,143,280,259,153,231,193,309,261,159,260,200,358,207,224,402,236,5296
201105,105,74,175,214,247,218,214,299,187,198,338,292,192,281,243,362,296,153,295,295,399,259,361,436,327,6460
201106,101,75,174,186,220,208,226,250,182,188,314,246,168,276,244,356,279,139,285,246,363,254,337,419,303,6039
201107,74,59,154,163,209,158,204,242,165,153,278,254,151,269,189,292,247,100,269,241,297,224,263,342,253,5250
201108,88,92,151,196,221,201,218,260,182,183,324,294,185,261,252,378,334,146,297,270,369,245,327,447,266,6187
201109,59,57,130,139,158,161,196,193,127,142,228,237,124,227,209,288,215,132,217,226,323,208,257,342,197,4792
201110,80,86,146,179,256,168,212,242,164,170,291,256,164,249,238,334,264,128,257,247,344,230,295,348,288,5636
201111,93,85,193,224,296,217,270,283,212,187,388,322,183,298,264,427,347,149,314,293,409,296,330,466,348,6894
201112,124,122,209,274,335,295,359,360,212,280,444,322,234,399,314,514,455,196,379,349,500,399,424,592,437,8528
201201,89,79,155,178,195,192,249,228,195,208,312,273,155,235,223,379,310,167,256,291,367,238,296,405,292,5967
201202,87,88,133,176,216,191,213,247,174,164,286,247,141,218,178,325,269,116,237,225,357,226,260,352,245,5371
201203,78,84,159,180,220,193,246,254,192,184,320,263,161,282,240,361,312,139,277,262,388,252,274,431,301,6053
201204,87,92,152,199,254,196,240,224,180,176,292,252,165,258,220,370,318,159,275,281,360,257,329,405,272,6013
201205,90,92,166,196,239,190,251,270,197,174,303,301,162,265,209,402,352,137,265,286,387,245,329,436,271,6215
201206,84,80,139,204,234,188,237,206,169,156,296,239,179,217,209,335,263,151,238,230,323,238,320,401,264,5600
201207,75,81,158,171,225,176,204,208,149,157,273,247,131,222,198,328,266,122,227,197,333,230,314,349,237,5278
201208,61,103,151,205,182,186,217,239,189,149,264,245,163,229,210,327,291,113,225,249,305,245,265,366,216,5395
201209,61,66,116,157,166,148,170,170,148,134,178,207,106,184,177,258,212,109,192,177,271,198,221,265,161,4252
201210,108,92,143,214,242,185,295,269,187,168,340,289,173,276,225,394,270,134,261,261,404,244,313,433,291,6211
201211,73,70,179,213,263,211,256,280,192,196,350,299,207,270,240,428,322,151,286,333,443,307,333,433,351,6686
201212,107,102,244,332,362,246,303,338,235,251,424,370,264,375,350,525,425,191,416,411,519,394,467,592,411,8654
