시점,서울특별시,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
Jan-11,10312835,170577,132827,244744,308466,375372,367167,427481,489227,346530,368229,610579,489358,323909,392099,499746,574029,423274,244814,406705,402777,531578,435440,570296,685271,492340
Feb-11,10314245,170617,132997,244802,307753,375105,367399,427118,489668,346386,367887,609745,490703,323170,392428,499399,573764,422893,244597,406411,402705,531805,435817,570591,685434,495051
Mar-11,10307783,170099,132913,245361,306941,374794,367454,426852,489703,346367,367783,608388,491525,321991,393110,498473,573182,422544,244555,406276,402491,531539,434809,569367,684786,496480
Apr-11,10301829,169855,132819,245566,306146,374400,367384,426602,489432,346166,367790,607431,492029,320919,393290,497741,573091,422294,244372,405871,402973,531030,434038,568991,684958,496641
May-11,10295643,169648,132633,246671,305530,374170,367355,426104,488984,345896,367622,606947,492074,319950,393334,497456,572767,421946,243854,405253,402891,530383,433524,569265,684610,496776
Jun-11,10288284,169473,132406,247057,305113,373863,366831,425898,488415,345629,367404,606299,491880,319244,392858,497408,572494,421829,243651,404246,402741,529910,433025,569873,684266,496471
Jul-11,10282472,169217,132224,247206,304411,373608,366633,425668,488036,345502,366879,605756,491741,318467,392635,498819,571526,422322,243280,403062,402567,529195,432934,570392,684028,496364
Aug-11,10277507,169190,132179,247119,303694,373179,366882,425380,487634,345171,366531,605655,492080,317721,392122,500208,570777,423448,242917,401318,402241,528761,433054,570209,683679,496358
Sep-11,10271880,169188,131989,246932,303196,372891,366879,424892,487228,344926,366304,605481,492594,317175,391669,500579,570315,424285,242739,400643,401936,528361,433067,569002,683449,496160
Oct-11,10266174,169050,131891,246800,302454,372644,366537,424611,486839,344678,366161,605404,493095,316462,390975,500834,570017,425609,242750,399365,401728,527851,433510,567828,683336,495745
Nov-11,10257741,168736,132211,246662,301551,372447,366005,424236,485892,344763,366032,604960,493398,315731,390068,500674,569687,426953,243086,398299,401335,526836,433441,566482,682675,495581
Dec-11,10249679,168382,133193,246501,300711,371936,365486,423706,485171,345054,365573,603930,493634,314852,389493,500210,569072,427468,243438,397443,401408,526397,433564,565710,682209,495138
Jan-12,10250134,168343,133957,246440,300405,371913,365410,423394,484905,345494,365332,603510,494438,314124,389249,500062,569085,427962,243558,397027,401561,526341,434819,565475,682405,494925
Feb-12,10251297,168184,134972,246201,300327,371735,365856,422961,484823,346056,364831,603409,496488,313555,389036,499767,568646,428306,243818,396567,401828,526364,435926,564876,682722,494043
Mar-12,10245782,167967,135444,245711,300078,371769,365699,422621,484653,345926,364483,602372,498496,312867,388693,499100,568492,428296,244028,396196,401984,526314,435848,563872,682244,492629
Apr-12,10241387,167550,135633,245254,300087,371827,365458,422018,484239,345944,364075,601967,500086,312505,388358,498758,568438,428636,244033,395589,402231,526159,435916,563254,681854,491518
May-12,10237054,167199,135829,244975,299843,371893,365416,421697,484007,345779,363767,601607,501208,312184,387746,498506,568312,428914,243988,394891,401990,526193,435997,562725,681623,490765
Jun-12,10232281,166996,135841,244770,299683,371789,365353,421422,483899,345350,363565,601241,501605,311963,387307,498039,568368,428652,243957,394279,401877,525993,436219,562739,681264,490110
Jul-12,10227761,166878,135818,244530,299562,372107,365091,421051,483832,344994,363290,600515,501769,311611,386996,497623,568403,428388,243899,393785,402278,525658,436305,562684,681013,489681
Aug-12,10223243,166748,135580,244489,299813,372138,364750,420721,483546,344617,363296,599871,501908,311336,386530,497256,568293,428231,243699,393205,402956,525471,436631,562465,680369,489324
